Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
2,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
3,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
4,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
5,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
6,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
9,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
10,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
11,WA6HAM,145.490000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
12,KB6LED,145.290000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
13,K6LNK,146.850000,-,0.600000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
14,KB6LED,145.290000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
15,WB6TCS,147.210000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
16,W6BUR,146.670000,-,0.600000,Tone,85.4,88.5,023,NN,FM,5.00,,,,,,
17,WB6NDJ,146.880000,-,0.600000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
18,WA6KQB,145.110000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
19,K6EAG,145.130000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
20,W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
21,K6POU,145.330000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
22,AB6CR,145.350000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
23,KF6ALA,147.825000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
24,W6RGG,147.240000,+,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
25,W6CX,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
26,K6SRM,146.355000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
27,WA6KQB,145.110000,-,0.600000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
28,W6TP,146.790000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
29,K6EAG,145.130000,-,0.600000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
30,W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
31,K6POU,145.330000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
32,AB6CR,145.350000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
33,W6SRR,147.045000,+,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
34,KB6LED,147.975000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
35,WD6INC,146.835000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
